English Name,Scientific Name,SoIB 2023 Priority Status,SoIB 2023 Long-term Trend Status,SoIB 2023 Current Annual Trend Status,SoIB 2023 Distribution Range Size Status,eBird English Name 2022,eBird Scientific Name 2022,BLI English Name 2022,BLI Scientific Name 2022,Order,Family,Breeding Activity Period,Non-breeding Activity Period,Diet Guild,Endemicity,Endemic to India,Endemic to Subcontinent,Endemic to Himalaya,Habitat Specialization,Migratory Status within India,Restricted to Islands,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,1% Population Threshold,Selected for SoIB,Selected for Long-term Trend,Selected for Current Annual Trend,Long-term Trend LCI,Long-term Trend Mean,Long-term Trend UCI,Current Annual Trend LCI,Current Annual Trend Mean,Current Annual Trend UCI,Distribution Range Size LCI,Distribution Range Size Mean,Distribution Range Size UCI,Number of Grids,Range Coverage (Pre-2000),Range Coverage (Current),Range Coverage (2022),Grid Coverage Mean,Grid Coverage CI,Projected % Decline in 3 Generations,Regional Red List Category,SoIB 2020 Concern Status,SoIB 2020 Long-term Trend Status,SoIB 2020 Current Annual Trend Status,SoIB 2020 Distribution Range Size Status
Great Slaty Woodpecker,Mulleripicus pulverulentus,High,Insufficient Data,Insufficient Data,Restricted,Great Slaty Woodpecker,Mulleripicus pulverulentus,Great Slaty Woodpecker,Mulleripicus pulverulentus,Piciformes,Picidae (Woodpeckers),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Vulnerable,Schedule-I,,,,TRUE,FALSE,FALSE,,,,,,,28810,29340,29870,38,8,34,53,13,2,,,High,Data Deficient,Data Deficient,Restricted
White-bellied Woodpecker,Dryocopus javensis,Moderate,Rapid Decline,Stable,Moderate,White-bellied Woodpecker,Dryocopus javensis,White-bellied Woodpecker,Dryocopus javensis,Piciformes,Picidae (Woodpeckers),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-69.9,-62,-51.9,-3.4,-1.1,1.2,79110,79350,79590,137,21,48,61,20,1,,,Moderate,Moderate Decline,Uncertain,Moderate
Andaman Woodpecker,Dryocopus hodgei,High,Insufficient Data,Trend Inconclusive,Restricted,Andaman Woodpecker,Dryocopus hodgei,Andaman Woodpecker,Dryocopus hodgei,Piciformes,Picidae (Woodpeckers),Diurnal,Diurnal,Invertebrate,Andaman Islands,TRUE,TRUE,FALSE,Forest,Resident,TRUE,Vulnerable,Schedule-I,,,,TRUE,FALSE,TRUE,,,,-8.7,-5.8,-2.8,5020,5040,5060,24,12,51,62,7,2,,,High,Data Deficient,Data Deficient,Restricted
Collared Falconet,Microhierax caerulescens,Moderate,Insufficient Data,Insufficient Data,Restricted,Collared Falconet,Microhierax caerulescens,Collared Falconet,Microhierax caerulescens,Falconiformes,Falconidae (Falcons and Caracaras),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,Appendix II,Appendix II,,TRUE,FALSE,FALSE,,,,,,,29360,29840,30320,51,18,38,51,14,2,,,Moderate,Data Deficient,Data Deficient,Restricted
Pied Falconet,Microhierax melanoleucos,Moderate,Insufficient Data,Insufficient Data,Restricted,Pied Falconet,Microhierax melanoleucos,Pied Falconet,Microhierax melanoleucos,Falconiformes,Falconidae (Falcons and Caracaras),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,Appendix II,Appendix II,,TRUE,FALSE,FALSE,,,,,,,21000,21540,22080,29,21,34,34,11,2,,,,,,
Lesser Kestrel,Falco naumanni,,,,,Lesser Kestrel,Falco naumanni,Lesser Kestrel,Falco naumanni,Falconiformes,Falconidae (Falcons and Caracaras),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Grassland,Passage Migrant,FALSE,Least Concern,Schedule-II,Appendix II,Appendix I,,FALSE,FALSE,FALSE,,,,,,,,,,23,17,16,13,20,3,,,,,,
Common Kestrel,Falco tinnunculus,High,Rapid Decline,Rapid Decline,Very Large,Eurasian Kestrel,Falco tinnunculus,Common Kestrel,Falco tinnunculus,Falconiformes,Falconidae (Falcons and Caracaras),Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident & Winter Migrant,FALSE,Least Concern,Schedule-II,Appendix II,Appendix II,,TRUE,TRUE,TRUE,-74.8,-71.5,-67.2,-8.1,-7.3,-6.5,1491380,1492030,1492680,2106,11,32,44,11,0,,,Moderate,Moderate Decline,Strong Decline,Moderate
Red-necked Falcon,Falco chicquera,Moderate,Decline,Decline,Large,Red-necked Falcon,Falco chicquera,Red-headed Falcon,Falco chicquera,Falconiformes,Falconidae (Falcons and Caracaras),Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident,FALSE,Near Threatened,Schedule-I,Appendix II,Appendix II,,TRUE,TRUE,TRUE,-68.2,-56.7,-42.4,-6.3,-4.7,-3.2,629230,630180,631130,607,4,25,36,14,1,32,,High,Strong Decline,Strong Decline,Large
Red-footed Falcon,Falco vespertinus,,,,,Red-footed Falcon,Falco vespertinus,Red-footed Falcon,Falco vespertinus,Falconiformes,Falconidae (Falcons and Caracaras),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Uncertain,FALSE,Vulnerable,Schedule-II,Appendix II,Appendix I,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Amur Falcon,Falco amurensis,Moderate,Insufficient Data,Decline,Moderate,Amur Falcon,Falco amurensis,Amur Falcon,Falco amurensis,Falconiformes,Falconidae (Falcons and Caracaras),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Passage Migrant,FALSE,Least Concern,Schedule-I,Appendix II,Appendix II,,TRUE,FALSE,TRUE,,,,-7.6,-5.2,-2.8,99130,99130,99130,202,1,23,32,15,1,27,,Low,Data Deficient,Uncertain,Moderate
Merlin,Falco columbarius,,,,,Merlin,Falco columbarius,Merlin,Falco columbarius,Falconiformes,Falconidae (Falcons and Caracaras),Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Grassland,Winter Migrant,FALSE,Least Concern,Schedule-II,Appendix II,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,31,6,17,16,12,3,,,,,,
Eurasian Hobby,Falco subbuteo,Low,Insufficient Data,Insufficient Data,Moderate,Eurasian Hobby,Falco subbuteo,Eurasian Hobby,Falco subbuteo,Falconiformes,Falconidae (Falcons and Caracaras),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,Appendix II,Appendix II,,TRUE,FALSE,FALSE,,,,,,,76380,77350,78320,269,7,22,36,15,1,,,Low,Data Deficient,Uncertain,Moderate
Oriental Hobby,Falco severus,Moderate,Insufficient Data,Insufficient Data,Restricted,Oriental Hobby,Falco severus,Oriental Hobby,Falco severus,Falconiformes,Falconidae (Falcons and Caracaras),Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Local Migrant,FALSE,Least Concern,Schedule-II,Appendix II,Appendix II,,TRUE,FALSE,FALSE,,,,,,,16300,16970,17640,37,8,19,35,14,2,,,,,,
Laggar Falcon,Falco jugger,Moderate,Insufficient Data,Rapid Decline,Moderate,Laggar Falcon,Falco jugger,Laggar Falcon,Falco jugger,Falconiformes,Falconidae (Falcons and Caracaras),Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Grassland,Resident,FALSE,Near Threatened,Schedule-I,Appendix I,Appendix II,,TRUE,FALSE,TRUE,,,,-8.1,-6,-4,119200,119840,120480,151,9,23,26,12,1,,,Moderate,Data Deficient,Uncertain,Moderate
Saker Falcon,Falco cherrug,High,Insufficient Data,Insufficient Data,Restricted,Saker Falcon,Falco cherrug,Saker Falcon,Falco cherrug,Falconiformes,Falconidae (Falcons and Caracaras),Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant & Localized Summer Migrant,FALSE,Endangered,Schedule-I,Appendix II,Appendix I,,TRUE,FALSE,FALSE,,,,,,,7390,7910,8430,20,25,17,50,9,2,,,,,,
Peregrine Falcon,Falco peregrinus,Low,Decline,Stable,Large,Peregrine Falcon,Falco peregrinus,Peregrine Falcon,Falco peregrinus,Falconiformes,Falconidae (Falcons and Caracaras),Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident & Winter Migrant,FALSE,Least Concern,Schedule-I,Appendix I,Appendix II,,TRUE,TRUE,TRUE,-55.1,-44.7,-33.6,-2.6,-0.8,1.1,440170,440170,440170,1023,7,30,44,14,0,,,Low,Stable,Uncertain,Moderate
Alexandrine Parakeet,Psittacula eupatria,Low,Rapid Increase,Rapid Increase,Very Large,Alexandrine Parakeet,Psittacula eupatria,Alexandrine Parakeet,Palaeornis eupatria,Psittaciformes,Psittaculidae (Old World Parrots),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Near Threatened,Schedule-II,Appendix II,,,TRUE,TRUE,TRUE,82.8,108.8,143.8,3.6,5.6,7.6,1070120,1070610,1071100,1531,6,33,50,10,0,,,Low,Uncertain,Moderate Increase,Very Large
Rose-ringed Parakeet,Psittacula krameri,Low,Trend Inconclusive,Trend Inconclusive,Very Large,Rose-ringed Parakeet,Psittacula krameri,Rose-ringed Parakeet,Alexandrinus krameri,Psittaciformes,Psittaculidae (Old World Parrots),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,18,31.1,46.2,0.2,1.4,2.6,2272770,2273060,2273350,3624,10,47,65,9,0,,,Low,Stable,Stable,Very Large
Slaty-headed Parakeet,Psittacula himalayana,Low,Stable,Stable,Moderate,Slaty-headed Parakeet,Psittacula himalayana,Slaty-headed Parakeet,Himalayapsitta himalayana,Psittaciformes,Psittaculidae (Old World Parrots),Diurnal,Diurnal,Plant & Seed,Indian Subcontinent,FALSE,TRUE,TRUE,Forest & Plantation,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,Appendix II,,,TRUE,TRUE,TRUE,-10,8.3,29.7,-1.1,1,3.1,109860,110140,110420,196,17,47,57,12,1,,,Low,Uncertain,Uncertain,Moderate
Grey-headed Parakeet,Psittacula finschii,Moderate,Insufficient Data,Insufficient Data,Restricted,Gray-headed Parakeet,Psittacula finschii,Grey-headed Parakeet,Himalayapsitta finschii,Psittaciformes,Psittaculidae (Old World Parrots),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Forest,Summer Migrant & Localized Winter Migrant,FALSE,Near Threatened,Schedule-II,Appendix II,,,TRUE,FALSE,FALSE,,,,,,,3300,8950,14600,11,,20,45,9,3,,,,,,
Plum-headed Parakeet,Psittacula cyanocephala,Low,Trend Inconclusive,Stable,Very Large,Plum-headed Parakeet,Psittacula cyanocephala,Plum-headed Parakeet,Himalayapsitta cyanocephala,Psittaciformes,Psittaculidae (Old World Parrots),Diurnal,Diurnal,Fruit & Nect,Indian Subcontinent,FALSE,TRUE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,Appendix II,,,TRUE,TRUE,TRUE,-23.4,-13.4,-2,-0.2,1.3,2.7,1457370,1457860,1458350,2068,9,40,57,10,0,,,Low,Stable,Uncertain,Very Large
Blossom-headed Parakeet,Psittacula roseata,Moderate,Insufficient Data,Insufficient Data,Restricted,Blossom-headed Parakeet,Psittacula roseata,Blossom-headed Parakeet,Himalayapsitta roseata,Psittaciformes,Psittaculidae (Old World Parrots),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Near Threatened,Schedule-II,Appendix II,,,TRUE,FALSE,FALSE,,,,,,,22070,22690,23310,44,16,21,32,12,2,,,,,,
Malabar Parakeet,Psittacula columboides,Low,Trend Inconclusive,Stable,Moderate,Malabar Parakeet,Psittacula columboides,Malabar Parakeet,Nicopsitta columboides,Psittaciformes,Psittaculidae (Old World Parrots),Diurnal,Diurnal,Plant & Seed,Western Ghats,TRUE,TRUE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,Appendix II,,,TRUE,TRUE,TRUE,-44.9,-31.8,-14.5,-2,0.5,3,115200,115310,115420,208,25,60,67,19,1,,,Moderate,Moderate Decline,Uncertain,Moderate
Lord Derby's Parakeet,Psittacula derbiana,,,,,Derbyan Parakeet,Psittacula derbiana,Lord Derby's Parakeet,Psittacula derbiana,Psittaciformes,Psittaculidae (Old World Parrots),Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Near Threatened,Schedule-I,Appendix II,,,FALSE,FALSE,FALSE,,,,,,,,,,2,,75,100,4,5,,,,,,
Red-breasted Parakeet,Psittacula alexandri,Low,Stable,Stable,Moderate,Red-breasted Parakeet,Psittacula alexandri,Red-breasted Parakeet,Psittacula alexandri,Psittaciformes,Psittaculidae (Old World Parrots),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Near Threatened,Schedule-I,Appendix II,,,TRUE,TRUE,TRUE,-27.5,-9.3,11.5,-3.1,-1.1,1,126460,126800,127140,228,13,37,51,11,1,,,Moderate,Uncertain,Uncertain,Moderate
Nicobar Parakeet,Psittacula caniceps,Moderate,Insufficient Data,Insufficient Data,Restricted,Nicobar Parakeet,Psittacula caniceps,Nicobar Parakeet,Psittacula caniceps,Psittaciformes,Psittaculidae (Old World Parrots),Diurnal,Diurnal,Fruit & Nect,Nicobar Islands,TRUE,TRUE,FALSE,Forest,Resident,TRUE,Near Threatened,Schedule-II,Appendix II,,,TRUE,FALSE,FALSE,,,,,,,1430,1500,1570,8,12,42,75,5,3,,,Moderate,Data Deficient,Data Deficient,Restricted
Long-tailed Parakeet,Psittacula longicauda,High,Insufficient Data,Insufficient Data,Restricted,Long-tailed Parakeet,Psittacula longicauda,Long-tailed Parakeet,Belocercus longicaudus,Psittaciformes,Psittaculidae (Old World Parrots),Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,TRUE,Vulnerable,Schedule-II,Appendix II,,,TRUE,FALSE,FALSE,,,,,,,6690,6690,6690,39,15,50,77,6,1,,,Low,Data Deficient,Moderate Increase,Restricted
Vernal Hanging Parrot,Loriculus vernalis,Low,Trend Inconclusive,Rapid Increase,Moderate,Vernal Hanging-Parrot,Loriculus vernalis,Vernal Hanging-parrot,Loriculus vernalis,Psittaciformes,Psittaculidae (Old World Parrots),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident & Local Migrant,FALSE,Least Concern,Schedule-II,Appendix II,,,TRUE,TRUE,TRUE,-33,-18.6,-1.9,3.4,6.2,8.9,164500,164740,164980,373,20,58,72,16,1,,,Low,Uncertain,Uncertain,Moderate
Long-tailed Broadbill,Psarisomus dalhousiae,Low,Trend Inconclusive,Trend Inconclusive,Moderate,Long-tailed Broadbill,Psarisomus dalhousiae,Long-tailed Broadbill,Psarisomus dalhousiae,Passeriformes,Eurylaimidae (Asian and Grauer's Broadbills),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-5.7,23.8,66.5,-2.2,0.9,4.1,106670,107260,107850,145,10,31,48,11,1,,,Low,Data Deficient,Uncertain,Moderate
Silver-breasted Broadbill,Serilophus lunatus,Moderate,Insufficient Data,Insufficient Data,Restricted,Silver-breasted Broadbill,Serilophus lunatus,Silver-breasted Broadbill,Serilophus lunatus,Passeriformes,Eurylaimidae (Asian and Grauer's Broadbills),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,22970,23530,24090,31,13,33,35,12,2,,,,,,
Blue-naped Pitta,Hydrornis nipalensis,Moderate,Insufficient Data,Insufficient Data,Restricted,Blue-naped Pitta,Hydrornis nipalensis,Blue-naped Pitta,Hydrornis nipalensis,Passeriformes,Pittidae (Pittas),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,28760,28760,28760,51,12,30,55,12,2,,,Moderate,Data Deficient,Data Deficient,Moderate
Blue Pitta,Hydrornis cyaneus,,,,,Blue Pitta,Hydrornis cyaneus,Blue Pitta,Hydrornis cyaneus,Passeriformes,Pittidae (Pittas),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Summer Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,1,,,,7,,,,,,,
Indian Pitta,Pitta brachyura,Low,Trend Inconclusive,Stable,Large,Indian Pitta,Pitta brachyura,Indian Pitta,Pitta brachyura,Passeriformes,Pittidae (Pittas),Diurnal,Diurnal,Invertebrate,Indian Subcontinent,FALSE,TRUE,FALSE,Forest & Plantation,Within-India Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-36.8,-25.8,-11.1,-0.9,0.9,2.8,415210,415670,416130,846,7,36,58,15,0,,,Low,Uncertain,Uncertain,Large
Blue-winged Pitta,Pitta moluccensis,,,,,Blue-winged Pitta,Pitta moluccensis,Blue-winged Pitta,Pitta moluccensis,Passeriformes,Pittidae (Pittas),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Uncertain,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Hooded Pitta,Pitta sordida,Moderate,Insufficient Data,Insufficient Data,Restricted,Hooded Pitta,Pitta sordida,Western Hooded Pitta,Pitta sordida,Passeriformes,Pittidae (Pittas),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Summer Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,31640,32150,32660,49,2,28,49,13,2,,,,,,
Mangrove Pitta,Pitta megarhyncha,High,Insufficient Data,Insufficient Data,Very Restricted,Mangrove Pitta,Pitta megarhyncha,Mangrove Pitta,Pitta megarhyncha,Passeriformes,Pittidae (Pittas),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Near Threatened,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,3060,3410,3760,7,,52,71,8,2,,,,,,
White-bellied Minivet,Pericrocotus erythropygius,Moderate,Insufficient Data,Insufficient Data,Moderate,White-bellied Minivet,Pericrocotus erythropygius,White-bellied Minivet,Pericrocotus erythropygius,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Mainland India,TRUE,TRUE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,216650,217500,218350,223,3,25,43,13,1,,,Low,Data Deficient,Uncertain,Moderate
Small Minivet,Pericrocotus cinnamomeus,Low,Decline,Stable,Very Large,Small Minivet,Pericrocotus cinnamomeus,Small Minivet,Pericrocotus cinnamomeus,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-I,,,,TRUE,TRUE,TRUE,-48.3,-40.4,-31.9,-1,0.5,2,1452730,1453320,1453910,1956,9,38,55,11,0,,,High,Strong Decline,Strong Decline,Very Large
Grey-chinned Minivet,Pericrocotus solaris,,,,,Gray-chinned Minivet,Pericrocotus solaris,Grey-chinned Minivet,Pericrocotus solaris,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,86,12,27,48,10,1,,,,,,
Short-billed Minivet,Pericrocotus brevirostris,Moderate,Decline,Trend Inconclusive,Moderate,Short-billed Minivet,Pericrocotus brevirostris,Short-billed Minivet,Pericrocotus brevirostris,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-61.9,-48.1,-27.5,-2.7,0.8,4.2,82910,83490,84070,114,16,33,54,11,1,,,Low,Uncertain,Uncertain,Moderate
Long-tailed Minivet,Pericrocotus ethologus,Low,Trend Inconclusive,Stable,Moderate,Long-tailed Minivet,Pericrocotus ethologus,Long-tailed Minivet,Pericrocotus ethologus,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident & Within-India Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-40.5,-28.2,-12.3,-2.3,-0.4,1.5,125920,125920,125920,377,16,39,50,11,1,,,Moderate,Uncertain,Moderate Decline,Large
Orange Minivet,Pericrocotus flammeus,Moderate,Decline,Stable,Moderate,Orange Minivet,Pericrocotus flammeus,Scarlet Minivet,Pericrocotus flammeus,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Indian Subcontinent,FALSE,TRUE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-55.7,-44.9,-31.3,-2.1,0.4,3,186180,186410,186640,318,23,64,75,18,1,,,Low,Uncertain,Uncertain,Moderate
Scarlet Minivet,Pericrocotus speciosus,Low,Stable,Trend Inconclusive,Large,Scarlet Minivet,Pericrocotus speciosus,Not at species rank,Pericrocotus flammeus speciosus,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Not Recognised,Schedule-II,,,,TRUE,TRUE,TRUE,-9.7,6.5,25,-3.1,-1.6,0,327630,328100,328570,524,9,36,54,9,1,,,Low,Uncertain,Uncertain,Large
Ashy Minivet,Pericrocotus divaricatus,,,,,Ashy Minivet,Pericrocotus divaricatus,Ashy Minivet,Pericrocotus divaricatus,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Winter Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,14,14,26,36,14,4,,,,,,
Swinhoe's Minivet,Pericrocotus cantonensis,,,,,Brown-rumped Minivet,Pericrocotus cantonensis,Brown-rumped Minivet,Pericrocotus cantonensis,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Winter Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,7,,21,14,11,4,,,,,,
Rosy Minivet,Pericrocotus roseus,Low,Insufficient Data,Insufficient Data,Moderate,Rosy Minivet,Pericrocotus roseus,Rosy Minivet,Pericrocotus roseus,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Local Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,46980,47520,48060,123,7,27,51,12,1,,,,,,
Large Cuckooshrike,Coracina macei,Moderate,Rapid Decline,Stable,Very Large,Large Cuckooshrike,Coracina macei,Large/Indian Cuckooshrike,Coracina javensis/macei,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-67,-61.9,-55.8,-2.5,-1,0.4,1017290,1017940,1018590,1307,11,33,51,12,0,,,High,Strong Decline,Moderate Decline,Large
Andaman Cuckooshrike,Coracina dobsoni,Moderate,Insufficient Data,Insufficient Data,Restricted,Andaman Cuckooshrike,Coracina dobsoni,Andaman Cuckooshrike,Coracina dobsoni,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Andaman Islands,TRUE,TRUE,FALSE,Forest,Resident,TRUE,Near Threatened,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,4510,4570,4630,16,,43,81,8,2,,,Moderate,Data Deficient,Data Deficient,Restricted
Pied Triller,Lalage nigra,,,,,Pied Triller,Lalage nigra,Pied Triller,Lalage nigra,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,TRUE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,4,,50,75,6,4,,,,,,
Black-winged Cuckooshrike,Lalage melaschistos,Low,Stable,Stable,Moderate,Black-winged Cuckooshrike,Lalage melaschistos,Black-winged Cuckooshrike,Lalage melaschistos,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident & Within-India Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-16.2,5,32.9,-2,0.9,3.7,82830,82830,82830,262,9,32,48,12,1,,,Low,Uncertain,Uncertain,Moderate
Black-headed Cuckooshrike,Lalage melanoptera,Low,Decline,Stable,Large,Black-headed Cuckooshrike,Lalage melanoptera,Black-headed Cuckooshrike,Lalage melanoptera,Passeriformes,Campephagidae (Cuckooshrikes),Diurnal,Diurnal,Invertebrate,Indian Subcontinent,FALSE,TRUE,FALSE,Forest & Plantation,Within-India Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-63.9,-56.2,-46.5,-1.5,0.9,3.3,522320,523010,523700,938,11,37,50,15,0,,,Moderate,Moderate Decline,Uncertain,Moderate
Black-headed Shrike-babbler,Pteruthius rufiventer,Moderate,Insufficient Data,Insufficient Data,Restricted,Black-headed Shrike-Babbler,Pteruthius rufiventer,Black-headed Shrike-babbler,Pteruthius rufiventer,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Diurnal,Diurnal,Invertebrate,Eastern Himalayas,FALSE,FALSE,TRUE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,TRUE,FALSE,FALSE,,,,,,,23520,23980,24440,35,17,32,57,12,2,,,Moderate,Data Deficient,Data Deficient,Moderate
